nome,uso
Abacate,Arbóreas frutíferas
Abacaxi,Culturas agrícolas
Abóbora,Culturas agrícolas
Abobrinha,Hortícolas
Acácia,"Arbóreas madeira, sementes e produtos"
Acelga,Hortícolas
Acerola,Arbóreas frutíferas
Agrião,Hortícolas
Albízia,Arbóreas adubaçao verde e massa verde
Alcachofra,Hortícolas
Alecrim,Plantas medicinais e aromáticas
Alface,Hortícolas
Alfavaca,Plantas medicinais e aromáticas
Alfazema,Plantas medicinais e aromáticas
Algodão,Culturas agrícolas
Alho,Hortícolas
Alho-porro,Hortícolas
Almeirão,Hortícolas
Aloe vera,Plantas medicinais e aromáticas
Amendoim,Hortícolas
Amora,Arbóreas frutíferas
Andiroba,"Arbóreas madeira, sementes e produtos"
Angico,"Arbóreas madeira, sementes e produtos"
Anis,Plantas medicinais e aromáticas
Araçá,Arbóreas frutíferas
Araruta,Culturas agrícolas
Araticum,"Arbóreas madeira, sementes e produtos"
Araucária,"Arbóreas madeira, sementes e produtos"
Arnica,Plantas medicinais e aromáticas
Aroeira,"Arbóreas madeira, sementes e produtos"
Arroz,Culturas agrícolas
Arruda,Plantas medicinais e aromáticas
Artemísia,Plantas medicinais e aromáticas
Assa-Peixe,Plantas medicinais e aromáticas
Atemóia,Arbóreas frutíferas
Banana,Culturas agrícolas
Baru,Arbóreas frutíferas
Bastão do imperador,Ornamentais
Batata,Hortícolas
Batata-Baroa,Hortícolas
Batata-Doce,Hortícolas
Beldroega,Hortícolas
Berinjela,Hortícolas
Bertalha,Hortícolas
Beterraba,Hortícolas
Boldo,Plantas medicinais e aromáticas
Bracatinga,"Arbóreas madeira, sementes e produtos"
Brócolis,Hortícolas
Bucha,Culturas agrícolas
Cacau,Culturas agrícolas
Café,Culturas agrícolas
Cajá,Arbóreas frutíferas
Caju,Arbóreas frutíferas
Cajuzinho do cerrado,Arbóreas frutíferas
Calêndula,Plantas medicinais e aromáticas
Camboatá,"Arbóreas madeira, sementes e produtos"
Cambuci,"Arbóreas madeira, sementes e produtos"
Cana De Açúcar,Culturas agrícolas
Cana-Do-Brejo,Plantas medicinais e aromáticas
Canafístula,"Arbóreas madeira, sementes e produtos"
Candiúva,"Arbóreas madeira, sementes e produtos"
Canela,"Arbóreas madeira, sementes e produtos"
Capim santo,Plantas medicinais e aromáticas
Capim-Limão,Plantas medicinais e aromáticas
Caqui,Arbóreas frutíferas
Cará,Culturas agrícolas
Cará-Moela,Culturas agrícolas
Carambola,Arbóreas frutíferas
Carobinha,Plantas medicinais e aromáticas
Caruru,Hortícolas
Casca-De-Mata,"Arbóreas madeira, sementes e produtos"
Cássia,"Arbóreas madeira, sementes e produtos"
Castanha do maranhão,Arbóreas frutíferas
Castanha do pará,Arbóreas frutíferas
Caxeta,"Arbóreas madeira, sementes e produtos"
Cebola,Hortícolas
Cebolinha,Hortícolas
Cedro,"Arbóreas madeira, sementes e produtos"
Cenoura,Hortícolas
Cerejeira,"Arbóreas madeira, sementes e produtos"
